id;nom;prenom;surnom;birth;death;pays;pseudo;slug
1;<Indéterminé>;NULL;NULL;NULL;NULL;NULL;NULL;
2;Jodorowsky;Alexandro;jodorowsky.jpg;07/02/2029 00:00;NULL;CHILI;NULL;
3;Giraud;Jean;MOEBUSGiraudJean.jpg;08/05/1938 00:00;NULL;FRANCE;Moebius;
4;Beaumenay-Joannet;Isabelle;BeaumenayJoannetIsabelle.jpg;01/01/1957 00:00;NULL;FRANCE;NULL;
5;Janjetov;Zoran;janjetov.jpg;NULL;NULL;YOUGOSLAVIE;NULL;
6;Chaland;Yves;chaland.jpg;03/04/1957 00:00;18/07/1990 00:00;FRANCE;NULL;
7;Studio Beltran;NULL;NULL;NULL;NULL;FRANCE;NULL;
8;Beltran;Valérie;NULL;NULL;NULL;NULL;NULL;
9;Bess;Georges;bessG.jpg;01/01/1947 00:00;NULL;France;NULL;
10;Bess;Guillaume;NULL;NULL;NULL;NULL;NULL;
11;Nolent;Alexis;Matz.jpg;01/01/1967 00:00;NULL;FRANCE;Matz;
12;Jacamon;Luc;jacamon.jpg;NULL;NULL;NULL;NULL;
13;Brunschwig;Luc;BrunschwigLuc.jpg;03/09/1967 00:00;NULL;FRANCE;NULL;
14;Hirn;Laurent;HirnL_10012002.jpg;05/04/1963 00:00;NULL;France;NULL;
15;Guth;Claude;guth.jpg;02/03/1962 00:00;NULL;NULL;NULL;
16;Benacquista;Tonino;benacquista.jpg;01/09/1961 00:00;NULL;NULL;NULL;
17;Ferrandez;Jacques;ferrandez.jpg;12/12/1955 00:00;NULL;NULL;NULL;
18;Paringaux;Philippe;NULL;NULL;NULL;NULL;NULL;
19; De Loustal;Jacques;loustaljacques.jpg;10/04/1956 00:00;NULL;FRANCE;Loustal;
20;<Collectif>;NULL;NULL;NULL;NULL;NULL;NULL;
21;Kris;NULL;kris.jpeg;04/09/1972 00:00;NULL;NULL;NULL;
22;Davodeau;Etienne;davodeauetienne.jpg;19/10/1965 00:00;NULL;FRANCE;NULL;
23;Manara;Maurilio;manaramilo.jpg;12/09/1945 00:00;NULL;Italie;Manara, Milo;
24;<N&B>;NULL;NULL;NULL;NULL;NULL;NULL;
